Name,# params,Delta AIC,AIC,ESW/EDR,Sz Bias CS,Sz Bias CS CV,N,N LCL,N UCL,
hn cos average group size,2,22.4184,759.8057,2.515412,,,31655,25889,38705,
unif cos size regression,2,24.91278,762.3001,2.666791,6.30513,0.02618901,26106,21665,31457,
hr poly size regression,2,23.68109,761.0684,2.437049,6.124589,0.0261901,27749,20917,36813,
hn size bootstrap,2,3.277161,740.6645,2.81783,6.494482,0.02028048,25448.62,22786.55,27868.41,bootstrap
hr size bootstrap,3,0,737.3873,2.275087,5.70831,0.1830077,27704.15,23342.76,34598.29,bootstrap
hr poly average size,2,23.68109,761.0684,2.437049,,,32673,24666,43278,
hn cos group size regression,2,22.4184,759.8057,2.515412,6.183198,0.02615831,27142,22150,33258,
unif cos average size,2,24.91278,762.3001,2.666791,,,29858,24837,35893,
